Key,ar,en,es,pt,pt_br,fr,de,ru,zh,hi
Q_20,حارس فريق آرسنال يحمل الجنسية الألمانية,Arsenal goalkeeper holds German citizenship,El portero del Arsenal tiene la ciudadanía alemana,,O goleiro do Arsenal tem cidadania alemã,Le gardien d'Arsenal possède la nationalité allemande,Der Arsenal-Torwart besitzt die deutsche Staatsbürgerschaft,Вратарь «Арсенала» имеет немецкое гражданство.,阿森纳门将拥有德国国籍,आर्सेनल के गोलकीपर के पास जर्मन नागरिकता है
Q_21,مدرب فريق آرسنال يحمل الجنسية الإيطالية,Arsenal coach holds Italian nationality,El técnico del Arsenal tiene la ciudadanía italiana,,O técnico do Arsenal tem cidadania italiana,L'entraîneur d'Arsenal possède la nationalité italienne,Der Arsenal-Trainer besitzt die italienische Staatsbürgerschaft,Тренер «Арсенала» имеет итальянское гражданство,阿森纳主帅拥有意大利国籍,आर्सेनल कोच के पास इतालवी नागरिकता है
Q_22,لا يوجد أي لاعب فوق سن الثلاثين في فريق آرسنال,There is no player over the age of 30 in the Arsenal squad.,No hay jugadores mayores de 30 años en la plantilla del Arsenal,,Não há jogadores com mais de 30 anos no elenco do Arsenal,Il n’y a aucun joueur de plus de 30 ans dans l’équipe d’Arsenal,"Im Arsenal-Kader gibt es keine Spieler, die älter als 30 Jahre sind",В составе «Арсенала» нет игроков старше 30 лет.,阿森纳队内没有30岁以上的球员,आर्सेनल टीम में 30 वर्ष से अधिक उम्र का कोई खिलाड़ी नहीं है
Q_23,في التشكيلة الرئيسية لفريق آرسنال لاعب تحت 18 عام,the starting lineup for Arsenal under 18s,"En la alineación principal del Arsenal, un jugador sub- 18",,"Na escalação principal do Arsenal, um jogador sub- 18","Dans l'effectif principal d'Arsenal, un joueur de moins de 18 ans",In der Hauptaufstellung von Arsenal ein U18 - Spieler,В основном составе «Арсенала» игрок до 18 лет,阿森纳主力阵容中，一名18岁以下球员,"आर्सेनल के मुख्य लाइनअप में, एक अंडर -18 खिलाड़ी"
Q_24,يلعب فريق آرسنال هذا الموسم في دوري أبطال أوروبا,Arsenal are playing in the Champions League this season.,Esta temporada el Arsenal juega la liga de Campeones,,"Nesta temporada, o Arsenal está jogando na Liga dos Campeões","Cette saison, Arsenal joue la Ligue des Champions",In dieser Saison spielt Arsenal in der Champions League,В этом сезоне «Арсенал» играет в Лиге чемпионов.,本赛季，阿森纳正在征战欧冠联赛,इस सीज़न में आर्सेनल चैंपियंस लीग में खेल रहा है
Q_25,يلعب فريق آرسنال هذا الموسم في الدوري الأوروبي,Arsenal are playing in the Europa League this season.,El Arsenal juega la Europa League esta temporada.,,Arsenal está jogando na Liga Europa nesta temporada,Arsenal joue en Ligue Europa cette saison,Arsenal spielt diese Saison in der Europa League,«Арсенал» в этом сезоне играет в Лиге Европы.,阿森纳本赛季参加欧罗巴联赛,आर्सेनल इस सीज़न में यूरोपा लीग में खेल रहा है
Q_26,يلعب فريق آرسنال هذا الموسم في دوري المؤتمرات,Arsenal play in the Conference League this season.,El Arsenal juega en la Conference League esta temporada.,,Arsenal está jogando na Conference League nesta temporada,Arsenal joue en Conference League cette saison,Arsenal spielt diese Saison in der Conference League,В этом сезоне «Арсенал» играет в Конференц-лиге.,阿森纳本赛季参加分区联赛,आर्सेनल इस सीज़न में कॉन्फ्रेंस लीग में खेल रहा है
Q_27,لم يلعب أي لاعب من التشكيلة الحالية لآرسنال كأس العالم,No player from the current Arsenal squad has played in a World Cup.,Ningún jugador de la actual plantilla del Arsenal ha disputado el Mundial,,Nenhum jogador do elenco atual do Arsenal disputou a Copa do Mundo,Aucun joueur de l'équipe actuelle d'Arsenal n'a participé à la Coupe du Monde,Kein Spieler aus Arsenals aktuellem Kader hat an der Weltmeisterschaft teilgenommen,Ни один игрок из нынешнего состава «Арсенала» не играл на чемпионате мира.,阿森纳目前阵容中没有球员参加过世界杯,आर्सेनल की मौजूदा टीम का कोई भी खिलाड़ी विश्व कप में नहीं खेला है
Q_28,لعب أحد لاعبي التشكيلة الحالية لآرسنال كأس العالم,One of the current Arsenal squad players played in the World Cup.,Uno de los jugadores de la actual plantilla del Arsenal disputó el Mundial,,Um dos jogadores da atual seleção do Arsenal disputou a Copa do Mundo,L'un des joueurs de l'équipe actuelle d'Arsenal a disputé la Coupe du monde,Einer der Spieler im aktuellen Kader von Arsenal hat an der Weltmeisterschaft teilgenommen,Один из игроков нынешнего состава «Арсенала» играл на чемпионате мира,阿森纳现役阵容中的一名球员参加过世界杯,आर्सेनल की वर्तमान टीम में से एक खिलाड़ी ने विश्व कप खेला
Q_29,في الموسم الماضي لعب آرسنال في دوري أبطال أوروبا,Last season Arsenal played in the Champions League.,La temporada pasada el Arsenal jugó en la Liga de Campeones.,,"Na temporada passada, o Arsenal disputou a Liga dos Campeões","La saison dernière, Arsenal a joué en Ligue des Champions",In der vergangenen Saison spielte Arsenal in der Champions League,В прошлом сезоне «Арсенал» играл в Лиге чемпионов.,上赛季阿森纳参加了欧冠联赛,पिछले सीज़न में आर्सेनल ने चैंपियंस लीग में खेला था
Q_30,في الموسم الماضي لعب آرسنال في الدوري الأوروبي,Last season Arsenal played in the Europa League.,La temporada pasada el Arsenal jugó en la Europa League,,"Na temporada passada, o Arsenal disputou a Liga Europa","La saison dernière, Arsenal a joué en Ligue Europa",In der vergangenen Saison spielte Arsenal in der Europa League,В прошлом сезоне «Арсенал» играл в Лиге Европы.,上赛季阿森纳参加了欧罗巴联赛,पिछले सीज़न में आर्सेनल ने यूरोपा लीग में खेला था
Q_31,في الموسم الماضي لعب آرسنال في دوري المؤتمرات,Last season Arsenal played in the Conference League.,La temporada pasada el Arsenal jugó en la Conference League.,,"Na temporada passada, o Arsenal jogou na Conference League","La saison dernière, Arsenal a joué en Conference League",Letzte Saison spielte Arsenal in der Conference League,В прошлом сезоне «Арсенал» играл в Конференц-лиге.,上赛季阿森纳参加了分区联赛,पिछले सीज़न में आर्सेनल कॉन्फ्रेंस लीग में खेला था
Q_32,تعاقد آرسنال مع مدرب في بداية الموسم,Arsenal signed a coach at the beginning of the season,El Arsenal contrató entrenador a principios de temporada,,O Arsenal contratou um treinador no início da temporada,Arsenal a embauché un entraîneur en début de saison,Arsenal hat zu Beginn der Saison einen Trainer eingestellt,«Арсенал» нанял тренера в начале сезона,阿森纳在赛季初聘请了一位教练,आर्सेनल ने सीज़न की शुरुआत में एक कोच नियुक्त किया
Q_33,تعاقد آرسنال مع لاعب مهاجم في بداية الموسم,Arsenal signed a striker at the start of the season.,El Arsenal fichó un delantero a principios de temporada,,Arsenal contratou um atacante no início da temporada,Arsenal a recruté un attaquant en début de saison,Arsenal hat zu Beginn der Saison einen Stürmer verpflichtet,«Арсенал» подписал нападающего в начале сезона,阿森纳在赛季初签下了一名前锋,सीज़न की शुरुआत में आर्सेनल ने एक स्ट्राइकर पर हस्ताक्षर किए
Q_34,تعاقد آرسنال مع لاعب خط وسط في بداية الموسم,Arsenal signed a midfielder at the start of the season.,El Arsenal fichó un centrocampista a principios de temporada,,O Arsenal contratou um meio-campista no início da temporada,Arsenal a recruté un milieu de terrain en début de saison,Arsenal hat zu Beginn der Saison einen Mittelfeldspieler verpflichtet,«Арсенал» подписал полузащитника в начале сезона,阿森纳在赛季初签下了一名中场球员,सीज़न की शुरुआत में आर्सेनल ने एक मिडफील्डर पर हस्ताक्षर किए
Q_35,تعاقد آرسنال مع لاعب مدافع في بداية الموسم,Arsenal signed a defender at the start of the season.,El Arsenal fichó un defensa a principios de temporada,,Arsenal contratou um zagueiro no início da temporada,Arsenal a recruté un défenseur en début de saison,Arsenal hat zu Beginn der Saison einen Verteidiger verpflichtet,«Арсенал» подписал защитника в начале сезона,阿森纳在赛季初签下了一名后卫,सीज़न की शुरुआत में आर्सेनल ने एक डिफेंडर पर हस्ताक्षर किए
Q_36,تعاقد آرسنال مع حارس مرمى في بداية الموسم,Arsenal sign goalkeeper at the start of the season,El Arsenal fichó un portero a principios de temporada,,Arsenal contratou um goleiro no início da temporada,Arsenal a recruté un gardien en début de saison,Arsenal hat zu Beginn der Saison einen Torwart verpflichtet,«Арсенал» подписал вратаря в начале сезона,阿森纳在赛季初签下了一名门将,सीज़न की शुरुआत में आर्सेनल ने एक गोलकीपर के साथ अनुबंध किया
Q_37,سجل أحد لاعبي آرسنال أول أهداف مع الفريق ضد مانشستر يونايتد هذا الموسم,An Arsenal player scored his first goals for the team against Manchester United this season,Un jugador del Arsenal marcó su primer gol con el equipo ante el Manchester United esta temporada,,Um jogador do Arsenal marcou seu primeiro gol pelo time contra o Manchester United nesta temporada,Un joueur d'Arsenal a marqué son premier but pour l'équipe contre Manchester United cette saison,Ein Arsenal-Spieler erzielte in dieser Saison gegen Manchester United sein erstes Tor für die Mannschaft,Игрок «Арсенала» забил свой первый гол за команду в матче против «Манчестер Юнайтед» в этом сезоне,阿森纳球员在对阵曼联的比赛中打进了他本赛季的第一个球队进球,आर्सेनल के एक खिलाड़ी ने इस सीज़न में मैनचेस्टर यूनाइटेड के खिलाफ टीम के लिए अपना पहला गोल किया
Q_38,أحد لاعبي فريق آرسنال قادم من أكاديمية النادي,An Arsenal player coming through the club's academy.,Un jugador del Arsenal pasando por la cantera del club,,Um jogador do Arsenal passando pela academia do clube,Un joueur d'Arsenal issu de l'académie du club,"Ein Arsenal-Spieler, der die Akademie des Vereins durchläuft",Игрок «Арсенала» проходит обучение в академии клуба,一名阿森纳球员正在俱乐部青训学院就读,आर्सेनल का एक खिलाड़ी क्लब की अकादमी से होकर आ रहा है
Q_39,حافظ آرسنال على نظافة شباكه في أول 3 مباريات بالدوري,Arsenal have kept clean sheets in their first three league games.,El Arsenal mantuvo su portería a cero en sus primeros 3 partidos de liga,,O Arsenal não sofreu golos nos três primeiros jogos do campeonato,Arsenal a gardé sa cage inviolée lors de ses 3 premiers matches de championnat,drei Ligaspielen ohne Gegentor,«Арсенал» сохранил ворота сухими в своих первых трех матчах чемпионата.,3场联赛保持不失球,3 लीग मैचों में क्लीन शीट बरकरार रखी
Q_40,لاعب أساسي في تشكيلة فريق آرسنال أصيب بداية الموسم,A key player in the Arsenal squad who was injured at the start of the season.,Un jugador clave de la plantilla del Arsenal se lesionó a principios de temporada,,Um jogador importante do elenco do Arsenal se machucou no início da temporada,Un joueur clé de l'équipe d'Arsenal s'est blessé en début de saison,Ein Schlüsselspieler im Kader von Arsenal verletzte sich zu Beginn der Saison,Ключевой игрок состава «Арсенала» получил травму в начале сезона,阿森纳队中一名关键球员在赛季初受伤,सीज़न की शुरुआत में आर्सेनल की टीम का एक प्रमुख खिलाड़ी घायल हो गया था
Q_41,يحتل فريق ليفربول المراكز الـ 4 الأولى في الدوري,Liverpool are in the top 4 of the league.,Liverpool ocupa el top 4 de la liga,,Liverpool ocupa o top 4 da liga,Liverpool occupe le top 4 du championnat,Liverpool belegt die Top 4 der Liga,«Ливерпуль» занимает четвёрку лучших в лиге,利物浦占据联赛前4位,लिवरपूल लीग में शीर्ष 4 पर काबिज है
Q_42,يحتل فريق ليفربول المراكز الـ 4 الثانية في الدوري,Liverpool are in the second 4th place in the league.,Liverpool ocupa el segundo cuarto puesto de la liga,,Liverpool ocupa o segundo 4º lugar na liga,Liverpool occupe la deuxième 4ème place du championnat,Liverpool belegt den zweiten 4. Platz in der Liga,Ливерпуль занимает второе 4-е место в лиге.,利物浦位居联赛第2位第4位,लिवरपूल लीग में दूसरे चौथे स्थान पर काबिज है
Q_43,يحتل فريق ليفربول المراكز الـ 4 الثالثة في الدوري,Liverpool are in the top 4 in the league.,Liverpool ocupa el cuarto tercer puesto de la liga,,Liverpool ocupa o 4º terceiro lugar na liga,Liverpool occupe la 4ème troisième place du championnat,Liverpool belegt den 4. dritten Platz in der Liga,Ливерпуль занимает 4-е третье место в лиге.,利物浦在联赛中排名第四,लिवरपूल लीग में चौथे तीसरे स्थान पर काबिज है
Q_44,يحتل فريق ليفربول المراكز الـ 4 الأخيرة في الدوري,Liverpool are in the bottom 4 of the league.,Liverpool ocupa las últimas 4 plazas de la liga,,Liverpool ocupa os últimos 4 lugares da liga,Liverpool occupe les 4 dernières places du championnat,Liverpool belegt die letzten 4 Plätze in der Liga,Ливерпуль занимает последние 4 места в лиге.,利物浦占据联赛倒数4位,लिवरपूल लीग में आखिरी 4 स्थानों पर काबिज है
Q_45,فاز ليفربول في مباراته ضد مانشستر يونايتد,Liverpool won their match against Manchester United,Liverpool ganó su partido contra Manchester United,,Liverpool venceu a partida contra o Manchester United,Liverpool a gagné son match contre Manchester United,Liverpool hat sein Spiel gegen Manchester United gewonnen,«Ливерпуль» выиграл матч у «Манчестер Юнайтед»,利物浦队在对阵曼联队的比赛中获胜,लिवरपूल ने मैनचेस्टर यूनाइटेड के खिलाफ अपना मैच जीता
Q_46,خسر ليفربول في مباراته ضد توتنهام,Liverpool lost their match against Tottenham,Liverpool perdió en su partido contra Tottenham,,Liverpool perdeu na partida contra o Tottenham,Liverpool a perdu lors de son match contre Tottenham,Liverpool verlor sein Spiel gegen Tottenham,«Ливерпуль» проиграл «Тоттенхэму»,利物浦队在对阵托特纳姆热刺队的比赛中失利,लिवरपूल को टोटेनहम के खिलाफ मैच में हार मिली
Q_47,تعادل ليفربول في مباراته ضد آرسنال,Liverpool draw against Arsenal,Liverpool empató su partido contra Arsenal,,Liverpool empatou a partida contra o Arsenal,Liverpool a égalisé son match contre Arsenal,Liverpool hat sein Spiel gegen Arsenal unentschieden gespielt,«Ливерпуль» сыграл вничью с «Арсеналом»,利物浦队与阿森纳队打平,लिवरपूल ने आर्सेनल के खिलाफ अपना मैच टाई कराया
Q_48,سجل ليفربول أكثر من 3 أهداف في مباراته ضد تشيلسي,Liverpool scored more than 3 goals in their match against Chelsea,El Liverpool marcó más de 3 goles en su partido contra el Chelsea,,Liverpool marcou mais de 3 gols na partida contra o Chelsea,Liverpool a marqué plus de 3 buts lors de son match contre Chelsea,im Spiel gegen Chelsea mehr als drei Tore geschossen,«Ливерпуль» забил более 3 голов в матче против «Челси»,在对阵切尔西的比赛中进球数超过3 个,चेल्सी के खिलाफ मैच में लिवरपूल ने 3 से अधिक गोल किए
Q_49,سجل ليفربول أكثر من 2 هدف في مباراته ضد برايتون,Liverpool scored more than 2 goals in their match against Brighton,El Liverpool marcó más de 2 goles en su partido contra el Brighton,,O Liverpool marcou mais de 2 gols na partida contra o Brighton,Liverpool a marqué plus de 2 buts lors de son match contre Brighton,Liverpool erzielte im Spiel gegen Brighton mehr als zwei Tore,«Ливерпуль» забил более 2 голов в матче против «Брайтона»,在对阵布莱顿的比赛中进球数超过2 个,ब्राइटन के खिलाफ अपने मैच में 2 से अधिक गोल किए
Q_50,سجل ليفربول أكثر من هدف في مباراته ضد وست هام,Liverpool scored more than one goal in their match against West Ham,El Liverpool marcó más de un gol en su partido ante el West Ham,,O Liverpool marcou mais de um gol na partida contra o West Ham,Liverpool a marqué plus d'un but lors de son match contre West Ham,Liverpool erzielte im Spiel gegen West Ham mehr als ein Tor,«Ливерпуль» забил больше одного гола в матче против «Вест Хэма»,利物浦在对阵西汉姆联的比赛中攻入超过一球,लिवरपूल ने वेस्ट हैम के विरुद्ध अपने मैच में एक से अधिक गोल किये
Q_51,فاز ليفربول في أول مباراة له بالدوري,Liverpool won their first league match.,El Liverpool ganó su primer partido de liga,,Liverpool venceu sua primeira partida no campeonato,Liverpool a remporté son premier match de championnat,Liverpool gewann sein erstes Ligaspiel,«Ливерпуль» выиграл свой первый матч в чемпионате,利物浦赢得了他们的第一场联赛比赛,लिवरपूल ने अपना पहला लीग मैच जीता
Q_52,تعادل ليفربول في أول مباراة له بالدوري,Liverpool draw in first league match,El Liverpool empató en su primer partido de liga,,Liverpool empatou na primeira partida do campeonato,Liverpool a fait match nul lors de son premier match de championnat,Liverpool hat in seinem ersten Ligaspiel unentschieden gespielt,«Ливерпуль» сыграл вничью в своем первом матче чемпионата,利物浦在联赛首场比赛中打平,लिवरपूल ने अपना पहला लीग मैच ड्रा खेला
Q_53,خسر ليفربول في أول مباراة له بالدوري,Liverpool lost their first league match.,El Liverpool perdió en su primer partido de liga,,Liverpool perdeu em sua primeira partida do campeonato,Liverpool a perdu lors de son premier match de championnat,Liverpool verlor sein erstes Ligaspiel,«Ливерпуль» проиграл свой первый матч в чемпионате,利物浦在首场联赛中失利,लिवरपूल अपने पहले लीग मैच में हार गया
Q_54,لم يتلقى ليفربول أي هدف في شباكه في مباراته ضد مانشستر سيتي,Liverpool did not concede a single goal against Manchester City.,Liverpool no encajó ningún gol en su partido contra Manchester City,,O Liverpool não sofreu nenhum gol na partida contra o Manchester City,Liverpool n'a encaissé aucun but lors de son match contre Manchester City,Liverpool kassierte im Spiel gegen Manchester City keine Gegentore,«Ливерпуль» не пропустил ни одного гола в матче против «Манчестер Сити».,利物浦在对阵曼城的比赛中没有丢球,मैनचेस्टर सिटी के खिलाफ मैच में लिवरपूल ने कोई गोल नहीं खाया
Q_55,تلقى ليفربول هدفا في شباكه في مباراته ضد بورنموث,Liverpool conceded a goal against Bournemouth,El Liverpool encajó un gol en su partido contra el Bournemouth,,O Liverpool sofreu um gol na partida contra o Bournemouth,Liverpool a encaissé un but lors de son match contre Bournemouth,Liverpool kassierte im Spiel gegen Bournemouth ein Gegentor,«Ливерпуль» пропустил гол в матче против «Борнмута»,利物浦在对阵伯恩茅斯的比赛中失球,लिवरपूल ने बोर्नमाउथ के खिलाफ अपने मैच में एक गोल खाया
Q_56,تلقى ليفربول هدفين في شباكه في مباراته ضد شيفيلد يونايتد,Liverpool conceded two goals against Sheffield United,El Liverpool encajó dos goles en su partido ante el Sheffield United,,O Liverpool sofreu dois gols na partida contra o Sheffield United,Liverpool a encaissé deux buts lors de son match contre Sheffield United,Liverpool kassierte im Spiel gegen Sheffield United zwei Gegentore,«Ливерпуль» пропустил два гола в матче против «Шеффилд Юнайтед».,利物浦在对阵谢菲尔德联的比赛中丢了两个球,लिवरपूल ने शेफील्ड यूनाइटेड के खिलाफ अपने मैच में दो गोल खाए
Q_57,تلقى ليفربول في مباراته ضد توتنهام ثلاث أهداف,Liverpool conceded three goals in their match against Tottenham,"En su partido contra el Tottenham, el Liverpool encajó tres goles",,"Na partida contra o Tottenham, o Liverpool sofreu três gols","Lors de son match contre Tottenham, Liverpool a encaissé trois buts",Im Spiel gegen Tottenham kassierte Liverpool drei Gegentore,В матче с «Тоттенхэмом» «Ливерпуль» пропустил три гола.,利物浦在对阵托特纳姆热刺的比赛中丢了三个球,टोटेनहम के खिलाफ अपने मैच में लिवरपूल ने तीन गोल खाए
